 ,Label,Area,Mean,Mode,Min,Max,Median,Slice
46,OP_1_reg.tif:46,231,1330.290,1185,863,2130,1263,46
47,OP_1_reg.tif:47,231,1327.853,1302,904,2115,1253,47
48,OP_1_reg.tif:48,231,1327.991,1061,860,2134,1253,48
49,OP_1_reg.tif:49,231,1318.420,1145,898,2097,1250,49
50,OP_1_reg.tif:50,231,1308.567,1135,846,2064,1230,50
51,OP_1_reg.tif:51,231,1302.710,953,829,2065,1228,51
52,OP_1_reg.tif:52,231,1294.675,1043,852,2041,1215,52
53,OP_1_reg.tif:53,231,1286.190,1161,868,2105,1226,53
54,OP_1_reg.tif:54,231,1288.797,1128,816,2065,1225,54
55,OP_1_reg.tif:55,231,1288.913,994,806,2070,1227,55
56,OP_1_reg.tif:56,231,1288.823,1058,810,2041,1226,56
57,OP_1_reg.tif:57,231,1285.654,1073,825,2019,1221,57
58,OP_1_reg.tif:58,231,1275.048,1077,845,2033,1214,58
59,OP_1_reg.tif:59,231,1271.641,1331,854,2011,1209,59
60,OP_1_reg.tif:60,231,1268.506,967,857,2003,1206,60
61,OP_1_reg.tif:61,231,1267.442,896,806,1989,1204,61
62,OP_1_reg.tif:62,231,1265.991,1062,793,1983,1209,62
63,OP_1_reg.tif:63,231,1267.113,1268,841,1999,1205,63
64,OP_1_reg.tif:64,231,1264.861,1077,818,2007,1207,64
65,OP_1_reg.tif:65,231,1260.446,1058,834,1978,1197,65
66,OP_1_reg.tif:66,231,1265.117,892,836,1975,1199,66
67,OP_1_reg.tif:67,231,1258.325,994,883,1957,1196,67
68,OP_1_reg.tif:68,231,1260.082,975,860,1979,1198,68
69,OP_1_reg.tif:69,231,1263.000,1242,804,1979,1198,69
70,OP_1_reg.tif:70,231,1260.273,1154,824,1989,1207,70
71,OP_1_reg.tif:71,231,1254.996,927,809,1961,1202,71
72,OP_1_reg.tif:72,231,1257.610,1071,817,2002,1199,72
73,OP_1_reg.tif:73,231,1256.740,941,874,1974,1198,73
74,OP_1_reg.tif:74,231,1251.329,1168,848,1982,1177,74
75,OP_1_reg.tif:75,231,1249.762,1019,852,1976,1183,75
76,OP_1_reg.tif:76,231,1254.805,973,841,1966,1182,76
77,OP_1_reg.tif:77,231,1257.394,963,841,1986,1193,77
78,OP_1_reg.tif:78,231,1254.558,1004,831,1978,1184,78
79,OP_1_reg.tif:79,231,1250.299,1132,835,1973,1198,79
80,OP_1_reg.tif:80,231,1247.004,975,807,1966,1179,80
81,OP_1_reg.tif:81,231,1239.225,1034,882,1953,1174,81
82,OP_1_reg.tif:82,231,1231.719,1106,787,1933,1176,82
83,OP_1_reg.tif:83,231,1220.242,1030,778,1913,1166,83
84,OP_1_reg.tif:84,231,1212.078,1199,868,1904,1155,84
85,OP_1_reg.tif:85,231,1208.636,916,866,1871,1153,85
86,OP_1_reg.tif:86,231,1203.290,950,777,1865,1150,86
87,OP_1_reg.tif:87,231,1198.658,1041,795,1835,1134,87
88,OP_1_reg.tif:88,231,1196.238,1135,806,1861,1135,88
89,OP_1_reg.tif:89,231,1188.113,1075,825,1840,1138,89
90,OP_1_reg.tif:90,231,1190.779,1061,806,1835,1129,90
91,OP_1_reg.tif:91,231,1184.186,1036,784,1831,1135,91
92,OP_1_reg.tif:92,231,1180.745,869,790,1822,1131,92
93,OP_1_reg.tif:93,231,1181.069,915,779,1785,1124,93
94,OP_1_reg.tif:94,231,1175.879,1004,788,1815,1124,94
95,OP_1_reg.tif:95,231,1175.481,1037,807,1809,1117,95
96,OP_1_reg.tif:96,231,1176.918,913,819,1798,1121,96
97,OP_1_reg.tif:97,231,1177.519,1244,812,1811,1116,97
98,OP_1_reg.tif:98,231,1180.056,1041,822,1808,1123,98
99,OP_1_reg.tif:99,231,1178.554,1003,809,1805,1111,99
100,OP_1_reg.tif:100,231,1171.797,967,809,1813,1113,100
101,OP_1_reg.tif:101,231,1169.550,874,802,1815,1119,101
102,OP_1_reg.tif:102,231,1165.303,1123,803,1778,1107,102
103,OP_1_reg.tif:103,231,1161.532,881,801,1795,1100,103
104,OP_1_reg.tif:104,231,1156.156,992,798,1752,1102,104
105,OP_1_reg.tif:105,231,1157.463,935,792,1776,1102,105
106,OP_1_reg.tif:106,231,1154.935,981,783,1775,1096,106
107,OP_1_reg.tif:107,231,1152.052,896,799,1761,1098,107
108,OP_1_reg.tif:108,231,1148.100,962,765,1729,1096,108
109,OP_1_reg.tif:109,231,1145.242,938,764,1766,1089,109
110,OP_1_reg.tif:110,231,1142.017,986,782,1738,1099,110
111,OP_1_reg.tif:111,231,1138.831,1188,767,1763,1087,111
112,OP_1_reg.tif:112,231,1137.853,966,796,1722,1083,112
113,OP_1_reg.tif:113,231,1128.381,948,794,1734,1068,113
114,OP_1_reg.tif:114,231,1129.390,954,756,1692,1073,114
115,OP_1_reg.tif:115,231,1122.424,957,765,1718,1063,115
116,OP_1_reg.tif:116,231,1119.104,942,760,1662,1069,116
117,OP_1_reg.tif:117,231,1119.390,979,778,1672,1059,117
118,OP_1_reg.tif:118,231,1117.281,929,783,1666,1068,118
119,OP_1_reg.tif:119,231,1114.519,895,775,1660,1062,119
120,OP_1_reg.tif:120,231,1118.113,869,770,1640,1063,120
121,OP_1_reg.tif:121,231,1129.100,940,790,1693,1073,121
122,OP_1_reg.tif:122,231,1140.680,950,782,1680,1078,122
123,OP_1_reg.tif:123,231,1179.719,1016,807,1762,1114,123
